Packets,Bytes,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Bits/s A to B,Bits/s B to A
454,6292979,193,13751,261,6279228,3320993.219,1516491427
527,9082931,191,13313,336,9069618,3427141.231,2334775167
556,14239101,250,18309,306,14220792,3153107.103,2449051301
628,18748055,246,16881,382,18731174,3019715.963,3350679766
2304,42547727,865,59491,1439,42488236,4958266.489,3541174241
2397,46019179,862,58985,1535,45960194,5057369.495,3940623601
166,815445,79,5898,87,809547,1532404.888,210334652.4
185,878561,77,5460,108,873101,1522267.236,243423634.8
415,5735883,174,12503,241,5723380,4337397.526,1985489423
452,6639329,172,12065,280,6627264,4988630.605,2740238045
725,16749945,301,21785,424,16728160,3665438.201,2814598884
748,18334442,293,19932,455,18314510,3465203.807,3184001092
1026,17999484,428,29420,598,17970064,3409237.144,2082400057
1088,21530412,423,29000,665,21501412,3504857.113,2598599199
1407,39750033,542,38173,865,39711860,3654440.936,3801761633
1527,47455443,536,36601,991,47418842,3635912.366,4710547635
29,174939,17,1940,12,172999,2758237.792,245965144.2
28,304853,12,960,16,303893,0,0
248,3454389,107,8873,141,3445516,3116378.91,1210135625
255,3879029,97,6945,158,3872084,2750611.746,1533563676
585,9518937,276,20173,309,9498764,5024040.737,2365646026
649,12095009,271,18677,378,12076332,5556393.305,3592699592
835,18461566,329,22596,506,18438970,3687889.953,3009421677
750,14062761,340,24713,410,14038048,4164116.276,2365397328
1631,47315955,607,41827,1024,47274128,4056553.754,4584838535
1685,50987265,605,41389,1080,50945876,4071649.081,5011808191
163,915221,71,6118,92,909103,2540111.566,377447375.7
175,1010305,65,4548,110,1005757,2096056.103,463527506.2
157,2612785,63,5601,94,2607184,2815861.758,1310742675
173,3850683,58,4097,115,3846586,3095186.426,2906004582
627,7065808,287,19808,340,7046000,5051749.799,1796982486
688,8356433,283,19589,405,8336844,5450698.606,2319752104
556,13595327,237,16555,319,13578772,2538291.616,2081962134
626,17262925,240,16465,386,17246460,2702061.512,2830306455
2198,47968465,915,62597,1283,47905868,4296936.046,3288471509
2303,53120907,907,61953,1396,53058954,4878951.697,4178523617
176,1075137,77,6598,99,1068539,3072042.314,497513947
186,1104549,71,5028,115,1099521,2887959.741,631537864.4
172,2083413,84,7029,88,2076384,2982696.889,881096044.6
184,2915039,79,5525,105,2909514,2660593.451,1401092107
727,14067907,302,21111,425,14046796,3261196.174,2169928349
769,15504846,300,20528,469,15484318,3273914.619,2469521389
474,12623621,201,14985,273,12608636,2009557.636,1690876260
539,16598419,197,13549,342,16584870,1878947.5,2299955718
2440,50851491,1022,70211,1418,50781280,4898696.294,3543064023
2538,55329525,1015,69433,1523,55260092,6244501.56,4969851953
124,601841,60,5442,64,596399,1705500.199,186908969.7
134,659983,53,3804,81,656179,1237568.097,213476918.1
169,2769392,75,6096,94,2763296,2383774.846,1080557004
183,3724659,71,4981,112,3719678,2660907.866,1987095051
948,11628076,384,27500,564,11600576,6604017.158,2785832834
988,12479987,380,26209,608,12453778,6765420.798,3214737254
748,14520397,365,26137,383,14494260,4419701.16,2450943021
820,18944719,357,24429,463,18920290,4336440.141,3358578125
2250,49296391,897,61643,1353,49234748,4346308.293,3471430552
2355,53237143,894,61137,1461,53176006,5692560.596,4951300136
92,376181,42,3286,50,372895,659553.584,74846084.51
107,409448,40,2848,67,406600,656072.0703,93665345.42
281,4481076,115,8116,166,4472960,1574817.97,867927277.8
311,5248753,115,8169,196,5240584,3042102.197,1951572053
971,14391915,427,29811,544,14362104,7216151.122,3476539294
1050,16161459,421,29101,629,16132358,7402877.693,4103840871
487,9253266,233,16170,254,9237096,2559989.209,1462391223
550,11643692,232,15808,318,11627884,2653564.858,1951881601
2119,54854479,807,55559,1312,54798920,4618108.356,4554929901
2212,58550039,806,55189,1406,58494850,5454893.911,5781644913
97,537804,43,3342,54,534462,650940.8233,104100279.6
109,531216,41,2916,68,528300,679999.0159,123197352.6
645,10277951,251,17663,394,10260288,2648852.783,1538696282
662,10388215,249,17309,413,10370906,3694126.379,2213382484
490,8122597,225,16601,265,8105996,3654696.057,1784528138
519,9514561,222,15333,297,9499228,3382352.406,2095463163
2044,41302181,878,61037,1166,41241144,6242925.67,4218185634
2109,44140491,873,59541,1236,44080950,9220236.632,6826166674
1194,33314885,437,31033,757,33283852,2955072.493,3169406615
1267,37838747,429,29325,838,37809422,2999352.991,3867137356
120,617430,46,3300,74,614130,1536191.717,285885278.5
109,558431,46,3292,63,555139,1679231.787,283173467.5
436,7548141,179,13489,257,7534652,4095454.233,2287628618
445,8055423,174,11985,271,8043438,4309307.997,2892086083
645,10976183,271,19015,374,10957168,3615148.222,2083186243
726,14371375,270,18645,456,14352730,4633551.354,3566860366
840,15597924,317,22616,523,15575308,3218792.877,2216735517
878,17526811,311,21525,567,17505286,3142135.312,2555353184
2661,58293479,1118,76731,1543,58216748,6972876.665,5290406793
2748,61700103,1116,76293,1632,61623810,7278670.172,5879168308
52,334781,26,2982,26,331799,0,0
50,464189,21,1572,29,462617,0,0
459,4615815,179,12711,280,4603104,3657055.065,1324349367
490,5411369,177,12273,313,5399096,3771715.194,1659239992
625,11783671,265,18655,360,11765016,3563875.362,2247603894
663,13084819,263,18217,400,13066602,3787567.901,2716728458
977,17848277,424,29281,553,17818996,3542537.283,2155816320
