Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A
10.0.0.4,54564,10.0.1.1,80,73,183401,48,7233,25,176168,6.873512705,0.009218128,6277196.411,152888308.8
10.0.0.4,54564,10.0.0.2,80,49,178245,22,1639,27,176606,6.874609093,0.008123045,1614173.01,173930835.1
10.0.0.4,54574,10.0.1.1,80,224,2064994,106,7709,118,2057285,6.884366473,0.01197797,5148785.646,1374045853
10.0.0.4,54574,10.0.0.2,80,255,2686708,106,7507,149,2679201,6.884418397,0.011920134,5038198.396,1798101263
10.0.0.4,54588,10.0.1.1,80,365,6377108,152,11659,213,6365449,6.898260957,0.013228679,7050741.801,3849484291
10.0.0.4,54588,10.0.0.3,80,364,6489150,146,10083,218,6479067,6.899063706,0.012423667,6492769.003,4172080272
10.0.0.4,54594,10.0.1.1,80,20,8027,11,1205,9,6822,6.915330708,0.012527715,769493.8782,4356420.943
10.0.0.4,54594,10.0.0.1,80,33,23603,9,767,24,22836,6.919545992,0.008253986,743398.4017,22133306.26
10.0.0.4,54596,10.0.1.1,80,80,406975,42,4179,38,402796,6.925777277,0.006516172,5130619.634,494518560.9
10.0.0.4,54596,10.0.0.1,80,76,405837,36,2603,40,403234,6.928387924,0.003902826,0,0
10.0.0.4,54608,10.0.1.1,80,280,2298486,140,10225,140,2288261,6.93341287,0.023670956,3455711.717,773356513.4
10.0.0.4,54608,10.0.0.1,80,312,2635320,139,9855,173,2625465,6.94055432,0.016530422,4769388.223,1270610030
10.0.0.4,54610,10.0.1.1,80,112,225717,51,3981,61,221736,6.959163177,0.013587863,2343856.425,130549447
10.0.0.4,54610,10.0.0.1,80,129,261293,49,3543,80,257750,6.960044382,0.012709007,2230229.317,162247137
10.0.0.4,54624,10.0.1.1,80,175,827157,82,6141,93,821016,6.970956049,0.019010251,2584289.918,345504538.6
10.0.0.4,54624,10.0.0.1,80,190,857795,80,5703,110,852092,6.974053028,0.015915836,2866578.922,428298959.6
10.0.0.4,54638,10.0.1.1,80,20,6101,13,2207,7,3894,6.989992634,0.010612343,1663723.082,2935449.787
10.0.0.4,54638,10.0.0.1,80,30,26085,7,631,23,25454,6.991103654,0.009441721,534648.2913,21567254.53
10.0.0.4,54640,10.0.1.1,80,173,927045,81,6097,92,920948,7.001878388,0.015946806,3058668.927,462010010
10.0.0.4,54640,10.0.0.3,80,189,958239,79,5659,110,952580,7.007335193,0.010492103,4314864.236,726321501
10.0.0.4,54650,10.0.1.1,80,18,4757,12,2139,6,2618,7.017989481,0.012681226,1349396.344,1651575.329
10.0.0.4,54650,10.0.0.1,80,22,9711,6,563,16,9148,7.023032171,0.007577136,594419.8441,9658530.611
10.0.0.4,54652,10.0.1.1,80,14,3619,8,1001,6,2618,7.031835681,0.006493312,1233268.939,3225472.609
10.0.0.4,54652,10.0.0.2,80,22,9711,6,563,16,9148,7.032764262,0.005516364,816479.8407,13266709.74
10.0.0.4,54654,10.0.1.1,80,18,4757,12,2139,6,2618,7.039543169,0.004195505,0,0
10.0.0.4,54654,10.0.0.1,80,14,3619,6,563,8,3056,7.041057343,0.002675771,0,0
10.0.0.4,54668,10.0.1.1,80,104,220821,48,3769,56,217052,7.044973269,0.012949755,2328383.819,134088714.4
10.0.0.4,54668,10.0.0.3,80,121,258245,46,3331,75,254914,7.04632152,0.011603008,2296645.835,175757183
10.0.0.4,54680,10.0.1.1,80,16,2659,11,2071,5,588,7.054823255,0.010120539,1637066.959,464797.3789
10.0.0.4,54680,10.0.0.3,80,18,3267,5,495,13,2772,7.058811319,0.006100585,649118.0764,3635061.228
10.0.0.4,54688,10.0.1.1,80,20,4893,13,2207,7,2686,7.066223994,0.00999076,1767232.923,2150787.327
10.0.0.4,54688,10.0.0.3,80,16,3755,7,631,9,3124,7.067851357,0.00835934,603875.4256,2989709.714
10.0.0.4,54692,10.0.1.1,80,20,3205,14,2549,6,656,7.077165685,0.012363661,1649349.655,424469.7424
10.0.0.4,54692,10.0.0.3,80,20,3601,6,551,14,3050,7.082482711,0.007047758,625447.128,3462093.903
10.0.0.4,54706,10.0.1.1,80,114,225841,55,4241,59,221600,7.08936262,0.013565441,2501061.337,130685025.3
10.0.0.4,54706,10.0.0.3,80,140,292869,53,3803,87,289066,7.090933653,0.011995056,2536378.321,192790096.2
10.0.0.4,54714,10.0.1.1,80,187,2102060,85,7103,102,2094957,7.099885642,0.018658335,3045502.184,898239633.9
10.0.0.4,54714,10.0.0.3,80,196,2883726,80,5595,116,2878131,7.103494071,0.015044702,2975133.705,1530442278
10.0.0.4,54726,10.0.1.1,80,75,478039,35,3123,40,474916,7.120292352,0.00670636,3725418.856,566526103.6
10.0.0.4,54726,10.0.0.3,80,73,528297,30,2195,43,526102,7.121629945,0.005363411,3274035.87,784727480.3
10.0.0.4,54734,10.0.1.1,80,91,707723,43,4247,48,703476,7.128431698,0.009446057,3596844.694,595783828.1
10.0.0.4,54734,10.0.0.3,80,87,706585,37,2671,50,703914,7.129490315,0.008380648,2549683.509,671942312.8
10.0.0.4,54736,10.0.1.1,80,112,221365,54,4177,58,217188,7.139396065,0.013639469,2449948.748,127387950.4
10.0.0.4,54736,10.0.0.3,80,126,251935,52,3739,74,248196,7.14084755,0.012189273,2453960.954,162894702.6
10.0.0.4,54748,10.0.1.1,80,24,11299,13,1341,11,9958,7.152682061,0.008647573,1240579.293,9212295.75
10.0.0.4,54748,10.0.0.3,80,38,97183,11,903,27,96280,7.154020745,0.007239721,997828.5075,106390840.2
10.0.0.4,54764,10.0.1.1,80,479,6045052,203,15935,276,6029117,7.162513628,0.019235303,6627397.551,2507521509
10.0.0.4,54764,10.0.0.3,80,481,6073370,193,13515,288,6059855,7.165004018,0.016742727,6457729.377,2895516364
10.0.0.4,54774,10.0.1.1,80,24,9177,15,2355,9,6822,7.183967774,0.008319806,2264475.878,6559768.341
10.0.0.4,54774,10.0.0.2,80,31,23193,9,779,22,22414,7.185990717,0.006241291,998511.3657,28729953.47
10.0.0.4,54790,10.0.1.1,80,16,2649,11,2071,5,578,7.19311919,0.008360134,1981786.416,553101.1823
10.0.0.4,54790,10.0.0.3,80,18,3237,5,495,13,2742,7.194395418,0.007038164,562646.7357,3116721.918
10.0.0.4,54796,10.0.1.1,80,337,3690616,144,12527,193,3678089,7.202447421,0.021153145,4737640.668,1391032492
10.0.0.4,54796,10.0.0.3,80,336,3757146,131,9407,205,3747739,7.203496274,0.020101309,3743835.787,1491540277
10.0.0.4,54808,10.0.1.1,80,18,2785,12,2139,6,646,7.226517108,0.003977794,0,0
10.0.0.4,54808,10.0.0.1,80,14,1647,6,563,8,1084,7.227648228,0.002841448,0,0
10.0.0.4,54814,10.0.1.1,80,68,405293,32,2633,36,402660,7.231759053,0.008669445,2429682.638,371567038
10.0.0.4,54814,10.0.0.1,80,70,405715,30,2195,40,403520,7.233539824,0.00688606,2550079.436,468796379.9
10.0.0.4,54826,10.0.1.1,80,20,8027,11,1205,9,6822,7.241546835,0.009006956,1070283.901,6059316.821
10.0.0.4,54826,10.0.0.3,80,31,25235,9,767,22,24468,7.24311185,0.007381977,831213.6437,26516473.84
10.0.0.4,54834,10.0.0.2,80,364,2653377,88,6227,276,2647150,7.255884273,25.28999306,1969.790971,837374.686
10.0.0.4,54834,10.0.1.1,80,336,2553537,92,7365,244,2546172,7.25592169,25.29008548,2329.76674,805429.306
10.0.0.4,54848,10.0.1.1,80,214,836919,98,7099,116,829820,7.261900521,0.01807162,3142607.027,367347255
10.0.0.4,54848,10.0.0.2,80,448,2150548,165,11690,283,2138858,7.26490138,50.80910963,1840.614817,336767.6412
10.0.0.4,54860,10.0.1.1,80,153,1654274,73,8341,80,1645933,7.280045964,0.012894157,5175057.198,1021196190
10.0.0.4,54860,10.0.0.3,80,158,2238134,67,4711,91,2233423,7.280936909,0.011996352,3141621.72,1489401445
10.0.0.4,54868,10.0.1.1,80,231,3984746,101,7325,130,3977421,7.29526626,0.013657352,4290729.272,2329834363
10.0.0.4,54868,10.0.0.3,80,240,4402772,99,6887,141,4395885,7.298647384,0.010268339,5365619.503,3424807070
10.0.0.4,50654,10.0.1.1,80,18,3131,13,2493,5,638,7.313033401,0.006120994,3258294.323,833851.4954
10.0.0.4,50654,10.0.0.1,80,12,1571,5,495,7,1076,7.315579105,0.003566211,0,0
10.0.0.4,50662,10.0.1.1,80,44,204527,22,2819,22,201708,7.321099318,0.010094075,2234181.933,159862493.6
10.0.0.4,50662,10.0.0.1,80,40,203389,16,1243,24,202146,7.32522431,0.005965405,1666944.658,271091065.9
10.0.0.4,50670,10.0.1.1,80,117,219157,55,6065,62,213092,7.332491913,0.020303279,2389761.772,83963580.46
10.0.0.4,50670,10.0.0.1,80,114,246831,42,3147,72,243684,7.340863153,0.011929144,2110461.572,163420946.2
10.0.0.4,50680,10.0.1.1,80,53,205139,28,3227,25,201912,7.348745841,0.010757643,2399782.183,150153337.5
10.0.0.4,50680,10.0.0.1,80,49,204001,22,1651,27,202350,7.353329325,0.006170726,2140428.857,262335420.5
10.0.0.4,50694,10.0.1.1,80,143,424399,70,6191,73,418208,7.360815799,0.00865081,5725244.226,386745749.8
10.0.0.4,50694,10.0.0.1,80,153,453831,64,4615,89,449216,7.362440696,0.00702845,5252936.28,511311597.9
10.0.0.4,50708,10.0.1.1,80,107,220965,52,3981,55,216984,7.370063194,0.015173263,2098955.248,114403342.2
10.0.0.4,50708,10.0.0.1,80,122,256553,50,3543,72,253010,7.373235848,0.012001611,2361682.944,168650692
10.0.0.4,50712,10.0.1.1,80,12,1511,7,933,5,578,7.383505317,0.004188107,0,0
10.0.0.4,50712,10.0.0.3,80,14,1933,5,495,9,1438,7.385769295,0.001918414,0,0
10.0.0.4,50716,10.0.1.1,80,324,4062582,148,10857,176,4051725,7.388872666,0.023663516,3670460.467,1369779537
10.0.0.4,50716,10.0.0.2,80,346,4348878,146,10419,200,4338459,7.389520504,0.023012859,3621975.001,1508186010
10.0.0.4,50718,10.0.1.1,80,132,232525,65,6037,67,226488,7.417326247,0.01385079,3486876.922,130815931.8
10.0.0.4,50718,10.0.0.1,80,142,261747,59,4251,83,257496,7.422928359,0.00824952,4122421.668,249707619.4
10.0.0.4,50722,10.0.1.1,80,21,3862,15,3156,6,706,7.429348658,0.014657145,1722572.848,385341.0743
10.0.0.4,50722,10.0.0.1,80,17,2173,7,607,10,1566,7.434155385,0.00985246,492871.831,1271560.605
10.0.0.4,50724,10.0.1.1,80,53,205559,29,3715,24,201844,7.438436503,0.008450484,3516958.319,191083966.3
10.0.0.4,50724,10.0.0.3,80,49,204001,23,1719,26,202282,7.444047683,0.002834246,0,0
10.0.0.4,50732,10.0.1.1,80,274,1778259,132,10937,142,1767322,7.447902338,0.012758059,6858096.518,1108207448
10.0.0.4,50732,10.0.0.3,80,283,2191955,123,8643,160,2183312,7.448976021,0.011681736,5918983.274,1495196947
10.0.0.4,50742,10.0.1.1,80,128,221457,64,6781,64,214676,7.463197888,0.006853687,7915155.74,250581621.2
10.0.0.4,50742,10.0.0.1,80,127,251339,52,3939,75,247400,7.463713347,0.00633687,4972802.03,312330851
